,text,label
212,BIP16 Update DAO Multisig Replacement List,bullish
213,Proposal for a PearDAO PEX Syrup Pool and Farm,bullish
214,PancakeSwap Freelance,neutral
215,Pancake use is multiple for ZRO airdrop,neutral
216,BIP17 Request BAL from treasury for June 2022 Balaries,bullish
217,Temperature Check  GRANT REQUEST 0x Community Subgraph,bullish
218,Add BTC Syrup pool,bearish
219,Events and parties in our community for bunnies only active profile,neutral
220,AIP394 Bored Brewing Beer Co Resubmission,bearish
221,TİTANO,bullish
222,AIP413 Hire a Head of Network Development at the APE Foundation,bearish
223,Request for Approval Bounty on fallback oracle misconfiguration,bearish
224,Fund BalancerDAO for Q2 2022,neutral
225,BIP659 Enable Gauge for rsETHWETH on Ethereum Mainnet,neutral
226,Are you pinka,bullish
227,Vote giúp mình nha,neutral
228,BTC 50K 01012024,bullish
229,BIP616 Enable gauge for sDAIaUSDC Rehype pool Gnosis,neutral
230,PancakeSwap Game,bearish
231,AMPL interest rate curve adjustment,bearish
232,Increase Burn of cake,neutral
233,AIP230 I dont hate apes I just want them to fund public goods,neutral
234,ARC Aave Ethereum V3 market initial onboarded assets,bullish
235,AIP66 ApeCoin Newsletter  Ecosystem Fund Allocation,bullish
236,BIP15 Enable FIATUSDCDAI Stableswap Gauge Ethereum,bullish
237,Onboard Fire Eyes DAO as Strategic Partner,neutral
238,Should nine 9 total risk parameters across seven 7 Aave V2 assets be updated,bullish
239,Desperately need help,neutral
240,Proposal to Upgrade UniWhales UNW Liquidity Pair for Farm Rewards from v2 to v3,bearish
241,BIP400 Enable WMATICMaticX Gauge w 10 cap Polygon,bearish
242,AIP87 NFT  IP Marketplace  Yuga Labs  Otherside Partner NFT Collections  Ecosystem Fund Allocation,bullish
243,Metacake map and land selling,bearish
244,Proposal for Adding CAKE Allocation to Bootstrap opBNB Liquidity,bullish
245,If community autonomy can be achieved,neutral
246,ARFC Ethereum v2 Reserve Factor Adjustment,bullish
247,Curve是否应该增加流动资金池除了已经增加的CompoundUSDTYPaxRenBUSDsUSDhbrcsbtc和3pool,bullish
248,AIP275 Understanding and Improving the Governance Participation in ApeCoin DAO,bullish
249,I take donations,bullish
250,Price nfts in cake,bearish
251,Aave  BGD Labs Request for Approval,bearish
252,Request The transparent and clear for all faming token,bullish
253,Proposal Extend govFactor in Balancer V1,bearish
254,BIP 77 Reactivate Contracts and Recover Funds,bullish
255,ARFC Deploy whitelabel Aave V3 Market  Reental,bearish
256,Make more Airdrops Available for Cake Holders,neutral
257,BIP135 Grant BLabs authorization to set arbitrum bridging fees,neutral
258,BIP488 Authorize Mimic Smart Vaults on Mainnet Avalanche and Base,neutral
259,U hold cake on web3 wallet or CEX,neutral
260,ARFC Recommendation to freeze and set LTV to 0 for BAL on Aave v3 Polygon,neutral
261,Airdrop season,bullish
262,Should we publish senseless proposals here,neutral
263,AIP426 Special Council Future election requirement and role clarification,neutral
264,BIP 82 b Emissions Q1 2022 mStable,bearish
265,可以给持有VCRV锁仓4年的用户制作并发放POAP吗,bullish
266,sCIP29  Add a TUSD TriPool Metapool,bullish
267,VIP52 VRT Swap  XVS Vesting,bullish
268,ARFC Onboard sUSDe to Aave V3 on Ethereum,bearish
269,Update Uni v3v2 Deployment Process March 2024,bearish
270,AIP279 Bored Apes Storm Hollywood BASHAIP Expanding the Ecosystem with Battletested IP Veteran and the Batman Producers,bullish
271,Become a tenant in the Bloktopia VR metaverse,bearish
272,ARFC Chaos Labs Risk Parameter Updates  OP on V3 Optimism,neutral
273,Proposal to decrease RPL from Cap3 to Cap2 10M  3M,bullish
274,cake automatic pool,bearish
275,BIP 106  2024Q3 Council Elections,bearish
276,sCIP8  USDN Interests Distribution,bullish
277,Make bmonbnb a core farm,bullish
278,ApeCoin DAO  Marketing and Communications Working Group Steward Elections  Term Beginning July 2024,neutral
279,Eid Mubarak,bearish
280,More Pottery winners,neutral
281,Has Cake foundation been doing good with their incentivizing campagins recently,bullish
282,sCIP22  Add a UST TriPool Metapool,bearish
283,BIP 72 Sett Vaults and ibBTC Fee Restructuring,bullish
284,cake反黑洞计划,bullish
285,Create no loss lottery pool,neutral
286,Help our shelter animal EVERYBODY WE NEED YOUR HELP,neutral
287,Allow NFT from NFT drops to be traded among users,neutral
288,Allinone Flexible Staking Pool,neutral
289,Help for the psychiatric care of the sweetest and kindest girl in the world,neutral
290,sCIP31  Add a MBTC sBTC Metapool,bullish
291,Start an world war III,bearish
292,Are you holding Meme,neutral
293,Enable Clout as collateral on Aave and eventually Creator Coins,bearish
294,如果熊市来了你还会持有crv吗,bullish
295,BIP 88 Emissions Q2 2022,bearish
296,crv持有应该追溯空投吗,bullish
297,I hope to get a few more issues of quality IFO recent issues are increasingly not,bearish
298,BURN MORE CAKE,bearish
299,Proposal Authorize Gauntlet for Oracle Pools,bearish
300,XVS Ethereum Mainnet Development Program with Lido Frax Curve and Gitcoin,bearish
301,BIP28 Kill CREAMWETH Gauge,bullish
302,CAKE  Bridge,bearish
303,Temperature Check Deploy Uniswap V3 on Scroll,bearish
304,Proposal for a Mask Network Farm  Syrup Pool,neutral
305,BIP 80 a BADGER Allocation to Restitution Program,bearish
306,ARFC BGD  Aave Phase 3 2 scopes,neutral
307,Mission Back to Venus Campaign 5  Chinese YouTube Video Winner Selection,neutral
308,ARBITRUM ARB claim,neutral
309,BIP587 Update Snapshot Parameters with Core Contributor Author Set,neutral
310,sCIP13  Adding QUSD QUSD3pool Metapool,bullish
311,Prime Adjustment Proposal  Q2 2024,bullish
312,TEMP CHECK Safety Module  Create GHOUSDC ECLP Category,bullish
313,will you come,neutral
314,ARFC TokenLogic  karpatkey Service Provider Partnership,bullish
315,AIP291 Approve and Publish ApeCoin DAO Brand Guidelines v11 on ApeCoincom,neutral
316,UIUX upgrade governance framework,bullish
317,Is the CRV dip Christmas Frenzy or something else,bullish
318,Cake,neutral
319,ARFC  Chaos Labs Scope and Compensation Amendment,bearish
320,BIP 75 Emissions migration to ibBTCsBTC Convex Sett,bearish
321,BIP 58 Emissions ibBTCWBTC SLP Sett incentives,bearish
322,Do you want HAL integration,bullish
323,Murat,bearish
324,Curve Finance投票权应包含主链以外的其它链,bullish
325,Will there be new IDO on Cake,neutral
326,ApeCoin DAO  Special Council Elections  Term Beginning January 2023,neutral
327,Proposal to Boost the KALMBNB Farm,neutral
328,Will Cake become a best dex token ,neutral
329,How smart are you,bearish
330,List pancakeswap on cryptocom,neutral
331,Isnt CZ is using 4 too much are we concern with all these FUDs ,neutral
332,Proposal for a Ultimate Champions CHAMP Syrup Pool and Farm,neutral
333,AIP12  Foundation and DAO Governance  Airdrop,neutral
334,Cake gamefi  mining world,bearish
335,Do you think CAKE can make a new alltime high,neutral
336,November CAKE Emission Reduction,neutral
337,test 2,bearish
338,Utilize CRV from the community fund to stake in Bancor v21,bearish
339,If PANCAKE exchange brings a new wave of funding will it bring users a more hiode experience,bearish
340,BIP517 Fund Balancer Grants for Q1 2024,neutral
341,Cake to 20 again,bullish
342,BIP4 Implement New Gauge Requirements,bearish
343,Future of world wide oil transactions,bullish
344,AIP93 A Marketplace for Apes by Apes built by Magic Eden  Brand Decision,bullish
345,Proposal to Boost the BELBNB Farm Plus a New Syrup Pool,bullish
346,ARFC wGHO Aave V3 Onboarding,bearish
347,prediction burn,bearish
348,BIP 102  Discontinue DIGG TCLLP,bullish
349,when IDO,neutral
350,GNT  BUSD Farm,bearish
351,aaaa,bullish
352,New cake burn mechanism,bullish
353,ARFC Avalanche v2 Reserve Factor Adjustment,neutral
354,Increase in the number of burnt cakes,bearish
355,BIP 53 DIGG for Rebase Options Redemption Pool,bullish
356,cake 100,bearish
357,Proposal to Introduce Liquidity Staking,bullish
358,AIP105 ApeCoin Drops in the Real World,bullish
359,Reduce CAKE mint rate Reduce CAKE emissions,bearish
360,Stake CAKE earn RAMP,neutral
361,Can crv up to 30 dollar,bullish
362,Chaos Labs  Aave v2 Coverage,neutral
363,sCIP29 Add LinksLink pool,bullish
364,sCIP23  Add a oBTC sBTC Metapool,bearish
365,Consensus Check Deploy Uniswap V3 to zkSync,neutral
366,Dice game,bullish
367,cake in dark,neutral
368,ARC Risk Parameter Updates for Aave V3 Optimism 20221229,neutral
369,2,neutral
370,Proposal for an ITAMCUBE Farm,bearish
371,Donate 50M worth of UNI to Chris Blec to leave DeFi for good,bullish
372,Staking of BPT for Economic and Governance Benefits,bearish
373,AIP417 IP Ecosystem with CLIP Powered by ApeCoin,neutral
374,Changing the interest rate parameters for VAI,bullish
375,CIP8  Propose to add dToken pool with liquidity gauge,bullish
376,Join Cakepie as a bribery market participant,neutral
377,More proposal,bullish
378,airdrop cake,neutral
379,Add HAL plugin to Snapshot,bearish
380,Will CRV back to 23 before 2022,bearish
381,Metamask,bearish
382,How does cake deal with the market environment of competitive incentives,bearish
383,New Cake NFT token  Used To Buy NFT,bearish
384,Deploy sui chain to pancakeswap ,neutral
385,Proposal to Boost the TRXBNB Farm,bearish
386,Are you bullish on CAKE,bullish
387,Consensus Check Should Uniswap v3 be deployed to Gnosis Chain,neutral
388,CRV raggiungerà lATL nel 2022,bullish
389,Run as a parachain in polkadot,bearish
390,建议curve尽快部署到optimism,bullish
391,AIP262 Add Benefit to ApeCoin Ecosystem to AIP Templates,neutral
392,Aave V3 Harmony  Freeze Reserves,bullish
393,Avezvous verrouillé CRV pendant 4 ans,bearish
394,NFT MARKETPLACE,bearish
395,Enable BADGERwBTC 8020 Gauge,neutral
396,BIP6 Execute SNX Recovery Coordinator,bearish
397,ARFC Polygon v2 Borrow Rate Adjustments,bearish
398,Adding SEBA Bank as a Whitelister to Aave ARC,bearish
399,TEMP CHECK  Onboard ezETH to Aave V3 Ethereum,neutral
400,Temperature Check Raise the proposal quorum threshold,bearish
401,BIP229 Fund Balancer Grants for Q2 2023,neutral
402,Help to build Turkey and Syria,neutral
403,BIP187 Enable TRYB  USDC Gauge with a 2 Emission Cap Ethereum,neutral
404,BIP506 Enable 80MIMO20WETH Gauges with a 2 cap Ethereum  Polygon PoS,neutral
405,BIP 103a  Continue Restitution with 1 Million Newly Minted BADGER Tokens,neutral
406,burn cake supply,bearish
407,Hi here,bullish
408,Stake Cake to Earn BNB,bearish
409,AIP251 ApeCoin DAO 101 The Ultimate Guide For ApeCoin DAO Newcomers,bearish
410,End the BAL for Gas Program,bullish
411,IFO增加项目描述,bullish
412,Will CRV continue to hit ATH in 2022,bearish
413,CIP28  What token should admin fees be distributed in to veCRV holders,bearish
414,Support for onchain Governance development,bullish
415,CIP23   Gauge to allocate daily new CRV to veCRV holders,bullish
416,Proposal for Angle Protocol agEUR Farm Optimization,neutral
417,sCIP30  Add a FRAX TriPool Metapool,bullish
418,ARC  Continue Liquidity Mining Program on Aave V2 Ethereum market and Introduce Liquidity Mining on Aave ARC market,bullish
419,Loan andor fixed term with the Cake,bearish
420,Grant funding for mutual growth in GameFi and Metaverse,bullish
421,Proposal for Batch 2 of Ecosystem Fund Grants,bullish
422,DECENTRILAZED PERP MARKET,bearish
423,BIP527 Gauge KillUnkill for 2eur Pools,neutral
424,Crypto as a FullTime Gig or Side Hustle,bullish
425,Add a chat bot for support,bullish
426, Lost everything on FTX ,neutral
427,Pick own Lottery numbers,bearish
428,ARFC AL Service Provider Proposal,neutral
429,BIP38 Request for BAL Allocation to Orb Collective,neutral
430,Governance Delegate Compensation Experiment,neutral
431,Temperature Check Upgrade Governance Contract to Governor Bravo,bullish
432,CRV流动性提供者是否可以从yTokens中受益,bullish
433,BIP662 Enable Gauge for ShezETHwstETH Ethereum,neutral
434,ARFC Gas Rebate for Recognized Delegates,bullish
435,Predictions betting on better odds will balance winnings more  burn cake,bearish
436,Integrate Pocket RPC in Aave,bearish
437,SearchFilter functionality for proposals,bullish
438,Update the AMM market assets,bullish
439,Farm Reward Adjustments,neutral
440,Support weETH collateral on Venus on ETH Mainnet,bullish
441,Will cake reach ATH in the next bull run,bullish
442,Ban Elizabeth Warren,neutral
443,Add the  amount invested in farms to home page,neutral
444,Fund the Integration of Boosted Pools in the 1inch Aggregation Protocol,bearish
445,I want to win cake to stake,neutral
446,AIP175 Establish ApeComms,bullish
447,Pancakeswap ID change,bearish
448,ApeCoin DAO  Special Council Nominees  Term Beginning July 1 2024,bearish
449,ARFC Update GNO Risk Parameters on Aave V3 Gnosis Pool,neutral
450,Start having liquidity vs CAKE instead of vs BNB,neutral
451,Duch auction option for NFT,bearish
452,Support FDUSD Market on Venus Core Pool,bullish
453,how many man,bearish
454,Should CAKE conduct an airdrop for the next Bull cycle,neutral
455,spaceid的ID价格能达到多少,neutral
456,Show 2 types cakebased and usdbased of APY calculation in pools for better understanding of our investment,neutral
457,BIP559 Enable ezETH  wstETH Arbitrum,bearish
458,BIP512 Enable pxETHWETH Gauge Ethereum,neutral
459,Change Burning Address to 0x0000000000000000000000000000000000000000,bearish
460,End date for the LEND  AAVE migration,bullish
461,Help for poor people,bearish
462,ARFC BGD Security budget request  December 2023,bullish
463,NFT Auction with Cake Burn,bullish
464,AIP399 Reserving AIP ID 420,bearish
465,how are you,bearish
466,Use identity verification for IFOs,bearish
467,Do you think CRV will be ATH in next few months,bullish
468,Airdrop plz,neutral
469,Give Some Incentives for Anyone that Added a Valuable Proposal,bearish
470,Lottery prize pool allocation,bearish
471,Increase benefit 52 Week staker for increase motivation to lock staking,neutral
472,a new proposal for cake liner,neutral
473,Should Uniswap lower the proposal submission threshold,bearish
474,crv可以质押赚利息吗,bullish
475,Help me save our life,bearish
476,PancakeSquad next Utility ,neutral
477,Is pancakeswap logo actually looks like pancake,neutral
478,Should Uniswap provide Rage Trade with an additional use grant,bullish
479,To the moon,bearish
480,AIP98 A CommunityFirst ApeCoin DAO Marketplace Proposal  Brand Decision,bullish
481,Compte tenu du grand développement de defi supportezvous la courbe airdrop,bullish
482,BIP158 Migrate wstETHWETH Gauge Arbitrum,neutral
483,PancakeSwap Credit Card,bearish
484,CRV是否适用燃烧机制,bullish
485,NO1 or not,neutral
486,Make peer to peer landing program,neutral
487,BIP1 Operating Framework for Balancer DAO,bearish
488,Reduction in FARMS reward and increase in SYRUP reward,neutral
489,How much will BTC reach by the end of 2023,bearish
490,BIP490 Enable 80OETH20WETH Gauge Ethereum with a 2 emission cap,neutral
491,TEMP CHECK Aave Chan Initiative 6Month Budget Proposal,neutral
492,BIP72 Enable wstETHUSDC Gauge Arbitrum,neutral
493,BIP18 Fund the Balancer Maxis for Q3,bullish
494,Minimum APY for Locked Cake,neutral
495,Whitelist the Aave Mainnet Reserve Factor for Balancers VoteEscrow,bearish
496,Pancake is one of reliable dex in crypto Space,neutral
497,需要给CURVE设计中文名吗,bullish
498,HELP,bearish
499,BIP649 Enable TXAUUSDC TXAGUSDC TXAUTXAGWETH Gauges with 2 emissions cap Polygon,neutral
500,Add Reserve Rights RSR as a borrowable asset,bullish
501,BIP56 Reenable CREAMWETH 8020 Gauge Ethereum,neutral
502,Consensus Check Raise the proposal quorum threshold,neutral
503,Will Cake coin will surpass its ATH in the next bullrun,neutral
504,BNB Pool,bearish
505,CAKE Staking Proposal,bearish
506,Is Binance fud real ,neutral
507,Help me to Build an strong dao community,neutral
508,AIP354 ApeCoinDAO AIP Ambassador  Mentorship Program,bullish
509,Syrup Pool to Earn Jokercoin JOK,neutral
510,AIP77 To set up an APE Coin discord channel  Brand Decision,neutral
511,Deflationary Pancakeswap,neutral
512,BlackJack game,bearish
513,对高风险项目进行处理,bearish
514,sCIP20  ETHankrETH Pool,bullish
515,TEMP CHECK Add ARB to Arbitrum Aave v3,neutral
516,cake2021年12月会到20美金吗,bearish
517,Establish Balancer Grants DAO,bullish
518,T8 BTC35k ,neutral
519,Enable agEUR as a collateral in isolation mode on V3 on Polygon,bullish
520,ARFCAddendum Update Boosters  diluters for Merit Round 2,bearish
521,how much is it a cake,bearish
522,ARFC Stablecoin Harmonization and Asset Parameters Optimization,bullish
523,ARC Aave V3 Ethereum Deployment Assets and Configurations Part 1,neutral
524,Change Landing page,bearish
525,BIP 87 bveCVX restructure,bullish
526,Should Aave deploy strategies on sidechains too or mainnet strategies only ,neutral
527,Llama  Aave,neutral
528,你觉得PFP头像类NFT还会出现蓝筹吗,bearish
529,AIP151 ApeCoin DAO Animated TV Series,bullish
530,SOL  BNB Pool,neutral
531,Stable Coin Staking on PCS,bullish
532,Ban Hackers from Transferring Community Contributing Members 4500X AAVE,bearish
533,Removing Incentivized Farms Isnt Working,bearish
534,BIP 54 Grants Month 5,bullish
