,text,category,label
41," The text discusses a proposal to create a digital papercraft model of the Apecoin logo, accompanied by educational materials and assembly instructions. This project aims to increase engagement and brand promotion for Apecoin, while also serving as an educational tool for understanding the Apecoin ecosystem. The total cost requested is $2950 in ApeCoin. The proposal is subject to changes for security, usability, and to protect APE holders. The full proposal can be found at a specified link.",,bearish
42," The text indicates a long-standing issue with the LEND migration, resulting in lost access to funds for some holders who did not migrate. A proposal is made to gauge community sentiment on setting an end date for migration to recover unmigrated LEND for use in the Aave reserve, promoting ecosystem growth.",,bullish
43," This text proposes an adjustment to farm rewards, aiming to redistribute CAKE rewards from underperforming farms to high performing ones. The adjustments are based on a performance index that considers factors like reward multiples, daily and 14-day volumes, and unique token holders on the BNB Chain. Farms such as DPT-BNB, SANTOS-BNB, PORTO-BNB, IDIA-BUSD, KART-BNB, DODO-BNB, ZOO-BNB, BUNNY-BNB, and QUIDD-BNB are highlighted for reduced rewards due to their low rankings on this index. The total change suggested is a reduction of 2.2. The sentiment of the text is informative and focused on reallocating resources for better performance.",,bullish
44," The text discusses a proposal to revert to the original VRT Swap & XVS Vesting design, following concerns about a potential workaround in an alternative design called ""fixed speed vesting."" The community raised technical and user experience issues with a proposed daily limit in this model. The author suggests that the daily limit issue cannot be resolved with the fixed speed model, leading to the proposal of the original design. The vote will consist of three options: FOR (supporting the original proposal), AGAINST (seeking other options), or ABSTAIN (neutral). This decision will not cause any on-chain action.",,bullish
45," Proposal for a new Syrup Pool featuring Trust Wallet ($TWT). Trust Wallet is a multi-functional crypto wallet enabling buying, storage, exchange, and earning of cryptocurrencies.",,bullish
48," The Snapshot vote assesses community opinion regarding a plan to stabilize VAI at $1. This involves providing liquidity to PancakeSwap V2 for the VAI/USDT pair, followed by further developments and evaluations. For more information, refer to the provided link.",,bullish
50," This text discusses a proposal to harmonize the risk parameters of USDT across various Aave v3 markets, aiming for better alignment and reducing inefficiency. The proposal suggests setting a unified LTV, liquidation threshold, and liquidation bonus for USDT on all deployments, similar to DAI and USDC on v3 Ethereum. The next steps involve gathering community feedback, reaching consensus, and potentially escalating the proposal through various stages if approved. No compensation is received by the Aave Chan Initiative from Tether or affiliated entities in relation to this proposal.",,bullish
51," The text discusses a proposal by StaFi Contributors, with support from Aave Governance, to add a new gauge to the Aave protocol. The gauge will be used to track the performance of a specific pool in the Aave system. The proposal involves three steps:
1. Granting the DAO Multisig the necessary role to add gauges to the controller.
2. Adding the new gauge to the controller using the granted role.
3. Revoking the ability for the DAO Multisig to directly add gauges to the controller after the new gauge has been added. The proposal is being executed by the DAO Multisig 0x10A19e7eE7d7F8a52822f6817de8ea18204F2e4f.",,bullish
52," The text presents a proposal to establish a Marketing and Communications Working Group within the ApeCoin DAO. This group aims to develop a consistent brand strategy, implement marketing initiatives, and enhance global communication efforts to onboard more users into the DAO. The proposal is part of a larger community-led infrastructure for decentralization and operational efficiency. The cost for this initial framework is $0, with a budget to be proposed by the elected Stewards later.",,bullish
56," Text discusses various forms of gambling including blackjack, slot machines, poker, and lotteries with 3 or 4 numbers.",,bearish
58," The proposal suggests maintaining current emission rates for Badger and DIGG, with a weekly reduction of 0.75% in Badger emissions, keeping the targeted APR at 15% + 20k cvxCRV per week for bveCVX.",,bearish
59," The text presents a proposal to adjust parameters on Aave Polygon V3 market, aiming to reduce risks associated with increased stablecoin borrowing against LST collateral due to lower MATIC LST liquidity and potential future reduced WMATIC supply. The suggested changes include decreasing stMATIC LT from 60% to either 50% or 56%, and decreasing MaticX LT from 62% to either 50% or 58%. The proposal is subject to market conditions and agrees to Gauntlet's terms of service. Overall, the sentiment appears to be cautious and proactive in managing risks for the long-term growth of Polygon v3.",,bearish
60," The text describes a proposal to deploy and seed a BadgerDAO pool on Rari Capital, enabling certain assets for collateral and borrowing, with an initial investment of up to $2M USDC and 30 BTC from the treasury. This action is discussed in a BIP (Badger Improvement Proposal) and further on Discord. The sentiment suggests a proactive move to expand the pool's capabilities and potentially boost its performance.",,bullish
61," The text presents a grant proposal by Encode Club 3 for Apecoin to co-sponsor a four-week virtual hackathon aimed at introducing university students to blockchain protocols, specifically focusing on the Apecoin ecosystem. The event aims to increase engagement and adoption of Apecoin by offering interactive workshops, challenges, and prizes. The total cost requested is $25,000 for event organization, marketing, support, and prizes. The proposal is subject to changes for security, usability, and the protection of APE holders. Overall, the sentiment is enthusiastic and collaborative, with a focus on community building and education within the Apecoin ecosystem.",,bullish
63,"1. Overview: The proposal is to add jEUR (Jarvis Euro), a stablecoin pegged to the EUR, on Aave's V3 market on the Polygon network. jEUR uses the EURUSD price feed of Chainlink for settlement and has risk parameters proposed for different modes.

2. Risk Parameters:
   - V3 Efficiency mode EUR stablecoins (if it exists): 97% LTV, 98% liquidation threshold, 10% reserve factor
   - V3 Efficiency mode stablecoins: 90% LTV, 95% Liquidation threshold, 10% reserve factor
   - V3 Isolation mode: 50% LTV, 80% liquidation threshold, 20% reserve factor, 2M$ debt ceiling.

3. Security Specification and Risks:
   - jEUR inherits risks from USDC, UMA’s DVM oracle, and Chainlink.
   - jEUR can only be minted following the protocol rules on Polygon, with no DAO at present, but transitioning to a ve-model in Q2.
   - Audits have been conducted by Halborn and Ubik.

4. Data:
   - Market Cap: €3.5M circulating ($4M)
   - 24h Volume: $2M on primary market, $400k on secondary markets
   - Volatility: Low
   - Maturity: Early
   - Social channels data: Discord: 3k members, Twitter: 16.1k followers
   - Contracts date of deployments, number of transactions, number of holders for tokens: Sep 2021 (Polygon), 116k transactions, 3,242 holders (more possible due to farming programs)

5. Links:
   - Website: [https://jarvis.network](https://jarvis.network)
   - Dune: [Jarvis Dashboard](https://dune.xyz/0xroll/JarvisNetwork)
   - Docs: [https://learn.jarvis.network](https://learn.jarvis.network)
   - Code: [https://gitlab.com/jarvis-network](https://gitlab.com/jarvis-network)

6. Voting options:
   - YES, add jEUR on Aave v3 on Polygon
   - NO, do not add jEUR on Aave v3 on Polygon",,bullish
66," The text describes an application submitted by a team to develop a mobile app interface for the Aave Protocol using React Native, seeking a $98k grant from the Aave DAO. The app aims to onboard new users, provide easier access to Aave protocol features, increase user growth, and potentially boost Total Value Locked (TVL). The team has experience in DeFi UX design, video game design, and mobile engineering, and has contributed to projects like Graph Protocol, IPFS, and Aave and Yearn protocols. They are seeking community feedback on the proposal before it is considered by the Aave DAO committee.",,bullish
67," 1. The text suggests a belief that PancakeSwap's landing page should adopt an exchange-like structure to showcase new coins, increase transactions, and create a Binance-similar environment.
2. It proposes a promoted section for companies who burn CAKE to have their coins listed, with a clear disclaimer.
3. The text also suggests tiered information availability based on the amount of CAKE held by users.
4. However, it is noted that not all ideas may be implemented.",,bearish
68,"1. The agEUR token contract on mainnet and Polygon is upgradeable, managed by multisigs: one on Ethereum (gnosis-safe.io/app/eth:0xdC4e6DFe07EFCa50a197DF15D9200883eF4Eb1c8/balances) and another on Polygon (polygonscan.com/address/0xdA2D2f638D6fcbE306236583845e5822554c02EA).
  2. Market Cap: €48.7m circulating, €3.7m on Polygon; 24h Volume: $4m (not including Curve liquidity); Volatility: Low; Maturity: Early.
  3. Social channels data: Discord: 27.7k members (discord.gg/bsfZjvgx2s); Twitter: 26.6k followers (twitter.com/AngleProtocol).
  4. Contract deployment, transactions, and holders for tokens: On mainnet: Date of Deployment: Oct 23rd 2021; Number of Transactions: 3215 and 39548 transfers; Number of holders for token: 487. On Polygon: Date of Deployment: Nov 23rd 2021; Number of Transactions: 2170 and 48569 transfers; Number of holders for token: 376.",,bearish
69," The text discusses a proposal to increase funding for ""Ballers,"" a group of Balancer protocol advocates, from 100 BAL/month to 500 BAL/month, with 60% long-term vested and 40% liquid. The proposal aims to grow the community effectively and requires 5,400 BAL for vested payments for the next three months, with an additional 600 BAL for a spending fund to reward community members and run events.",,bullish
70," The text introduces a proposal to whitelist the DAOhaus LPDAO Gnosis Safe multisig for vote-locking B-80BAL-20WETH into veBAL, allowing the LPDAO community to participate in Balancer governance. The motivation behind this is that LPDAO coordinates HAUS liquidity provision and aligns with the Balancer ecosystem. The risks involve potential issues with tokenizing veBAL using the safe, but the signers acknowledge these risks and commit not to use the safe for this purpose.",,bullish
71," The text expresses a desire for periodic Trust Wallet Token (TWT) Syrup Pool events, suggesting it could encourage trading activity.",,bullish
72," This text provides an overview of the security considerations, risks, and proposed risk parameters for a decentralized finance (DeFi) platform called StakeWise. The platform is designed to allow users to stake their ETH and earn rETH2 in return.

   *Counterparty risks* are mitigated by using an Oracle network to accurately report daily staking rewards. Currently, there are 5 oracles live on the network, with plans to increase this number to 10 over the coming months. The protocol is ultimately governed by the StakeWise DAO, which has additional security features in place to prevent malicious transactions.

   *Staking risks* such as slashing events and downtime penalties are mitigated through vetting of prospective node operators, providing them with an institutional-grade deployment package with embedded security features, and working with a third-party to provide protocol-level insurance (expected by early May). The StakeWise DAO also controls the exit signatures for its operators, making it impossible for operators to hold pool funds hostage.

   *Smart contract risks* are mitigated through audits by 3 separate auditors and a $200,000 bug bounty program with ImmuneFI. The protocol's code is open-source and available on GitHub.

   The proposed risk parameters for sETH2 include an LTV of 70%, a liquidation threshold of 75%, a liquidation bonus of 7.5%, and a reserve factor of 10%. These parameters are presented in comparison to those of ETH and are similar to the current risk parameters of stETH. The interest rate model for sETH2 includes a UOptimal of 50%, a base of 0%, slope 1 of 8%, and slope 2 of 200%.

   In summary, StakeWise is a DeFi platform that allows users to stake their ETH and earn rETH2. The platform uses an Oracle network for counterparty risk mitigation, has additional security features in place to prevent malicious transactions, and has proposed risk parameters that are similar to those of ETH and stETH. The interest rate model for sETH2 includes a UOptimal of 50%, a base of 0%, slope 1 of 8%, and slope 2 of 200%.",,bearish
73," A proposal was made in the Aave community to distribute a $100k bounty between two researchers, flashfish0x and nipun_pit, for their work on xSUSHI's incident. The payment will be coordinated by @eboado and the Aave Grants DAO.",,bearish
74," The text suggests that a Dice game is being introduced, with a portion of its profits used for buying back and burning Cake tokens. This action may encourage users to spend more time on the platform and utilize more of its products.",,bullish
75," The text discusses a community preference survey regarding the supply cap limits for LSTs (Liquid Stability Tokens) in Aave V3. The current high-bound is set at 50% of an asset's on-chain circulating supply to manage counterparty and concentration risks. However, some argue that this limit should be reconsidered for LSTs like MaticX and stMatic due to their unique price feeds and redeemability mechanisms. The survey offers three options: keeping the cap at 50%, increasing it to 75%, or not limiting it as a percentage of circulating supply, with the results influencing future recommendations.",,bearish
77," This text discusses a proposal to enable Lido to distribute LDO rewards across Aave v3 Ethereum, Arbitrum, and Optimism Liquidity Pools. The Emission_Admin role for LDO on each network will be assigned to a wallet controlled by the Lido DAO. The goal is to allow the Lido DAO to control the distribution of LDO rewards across these liquidity pools. The proposal involves assigning the Emission_Admin role for LDO to specific addresses on each network, as detailed in the table provided. The Lido Liquidity Mining Committee (LMC) will determine the emission rate and duration of LDO rewards.",,bullish
78," This document outlines a marketing strategy for ApeChain and Ape Express using a budget of 350,000 APE. The strategy includes weekly raffles, special event giveaways, SAF spaces, quests, educational tutorials, video content creation, IRL marketing, online ads, KOL activations, gorilla marketing, and PR activities.

The timeline for the implementation of this plan is as follows:
- Q2 2024: Launch educational tutorials, contests, and KOL activations.
- Q3 2024: Roll out quests, IRL marketing, and gorilla marketing.
- Q4 2024: Continue all ongoing activities and evaluate overall impact.

The full proposal can be found at this link: https://forum.apecoin.com/t/aip-433-ape-express-next-gen-degen-tools-for-building-instantly-on-apechain/23615. It is important to note that the AIP implementation may be altered for security, usability, or to protect APE holders. Any material deviations from the initial plan will be disclosed to the APE holder community.",,bearish
79," This text discusses a proposal for an interim distribution of stable coins from the Aave Collector to allow partial withdrawals by aAMPL suppliers on Aave v2 Ethereum, following a problem detected in December 2023. The proposal includes technical updates to address accounting issues and prevent further complications. The specific details will be defined at a later stage, but the distribution is expected to activate a USDC/USDT distribution on the AaveMerkleDistributor contract, release funds to the distributor, and update the Aave v3 Ethereum pool for necessary technical updates related to the AMPL reserve. The proposal is presented by BGD Labs and requires approval from the decentralized Aave governance.",,bearish
82," High yield staking with potentially high returns and minimal risk on Blockscape seems appealing, but users should exercise caution due to the seemingly excessive APY rate.",,bullish
84," The text presents a proposal aimed at enhancing participation in the ApeCoin DAO through data analysis and segmentation. It seeks funding of $15,000 for two milestones to identify barriers, optimize governance processes, and foster an engaged community among $APE token holders. The proposal is administered by the Ape Foundation, with potential alterations made to ensure security, usability, and protection of APE holders.",,bullish
86," The text expresses a suggestion for Rollbit.com to consider expanding its product line beyond lottery tickets, possibly including gambling-related products.",,bearish
87," A competitive game where players pick a group, deposit cakes, and the smallest group wins a jackpot upon time expiration.",,bearish
88," The text discusses a proposal to raise the liquidity mining cap for $AAVE from $100M to uncapped, which is currently the largest Balancer protocol liquidity pool. If approved, changes would take effect at 00:00 UTC on March 8. The proposal aims to increase incentives for bringing more liquidity onchain and enhance synergies between Aave and Balancer protocols by uncapping BAL rewards for the AAVE/ETH pool. The Safety Module, a collateral for the Aave ecosystem, is also mentioned as benefiting from this change due to increased liquidity and safety of the Aave ecosystem.",,bullish
89," This text discusses a proposal to adjust risk parameters across seven Aave V2 assets, aiming to maintain overall protocol risk tolerance while making specific asset trade-offs. The proposed changes include adjustments to LTV, Liquidation Threshold, and Liquidation Bonus for various assets like BAL, CRV, DPI, ENJ, MANA, MKR, and UNI. The community is encouraged to use Gauntlet's Risk Dashboard for better understanding of the suggested parameter updates and general market risk in Aave V2. The proposal is targeted for an AIP on 2022-01-05.",,bullish
90," The text presents a proposal for a Cross-Community focused space called MOCA MONDAY Spaces, aimed at educating various communities about the Mocaverse, BAYC, and Apecoin Community. The goal is to increase understanding of the ApeCoinDAO processes, promote participation in the Ape Assembly, and raise awareness of Apecoin, BAYC, and other related ecosystems. The proposal requests a budget of 76,830 USDC for a 12-month operation and a reward vault, with funds allocated for community engagement, production enhancement, software, talent costs, and various other expenses. The AIP implementation is administered by the Ape Foundation, and any deviations from the initial plan will be disclosed to the APE holder community. The overall sentiment of the text is informative and optimistic about the potential benefits for the Apecoin ecosystem.",,bearish
91," This text proposes to integrate ggAVAX, a liquid staking token from the Gogopool protocol, into AAVE V3 on Avalanche. The author suggests that this move would boost both ggAVAX's liquidity and AAVE's influence in the Avalanche ecosystem. The process involves gathering community feedback, followed by several stages of approval before reaching an AIP stage. The author is an investor in Gogopool and runs minipools, but no compensation was received for this proposal.",,bearish
92," The text discusses a proposal to increase the capTier for the token DOUGH from $1M to $3M on Balancer's platform. This is due to the total adjusted liquidity of DOUGH reaching nearly $5M, exceeding the current cap. The increased cap would help distribute a more equitable share of BAL tokens through liquidity mining for DOUGH pools. DOUGH is the governance token of PieDAO, a creator of tokenized ETFs and an early builder of Balancer smart pools. Owning DOUGH grants voting rights in decisions and a revenue stream from fees generated by the protocol. The sentiment appears to be positive, indicating support for the proposal to increase the capTier for DOUGH.",,bearish
95," The text discusses a proposed restructuring of the ApeCoin Forum for improved proposal process, governance, education, and community engagement. The changes are administered by the Ape Foundation and may be adjusted for security, usability, and protection of APE holders. Any significant deviations from the original plan will be disclosed to the community.",,bullish
96," The text discusses a proposal to reduce the total supply of CAKE tokens to a maximum cap of 450M CAKE. This move is intended to provide certainty for the community about future token supply, accelerate the journey towards ultrasound CAKE, and ensure flexibility for growth across various chains. The reduction aims to send a signal that PancakeSwap is transitioning away from a hyperinflationary tokenomics model. The proposal encourages readers to understand the long-term and short-term effects of this change before casting their vote.",,bullish
97," The text expresses concern about the rising price of a token, frustration with coin unlocking in 2023, and a decline in capitalization leading to decreased investor interest. It also includes a request for donations to an idea, along with a wallet address for BNB chain. The sentiment is predominantly negative due to the financial concerns and disappointment expressed.",,bearish
98," The text presents a proposal by DFX Finance to add gauges for two pools (DFX/ETH 50/50 and DFX/TEL/USDC 40/40/20) within the Balancer ecosystem. The aim is to incentivize liquidity migration, increase trading volumes, and deepen DFX liquidity onchain. DFX Finance is a decentralized foreign exchange protocol with over $40M TVL, offering efficient FX swaps. The proposal highlights governance, oracle, audit, centralization vectors, and market history details of DFX. The token serves as the governance tool for the protocol, with plans to transition to veDFX model. No sentiment is expressed in the text itself, but the overall context suggests a proactive approach by DFX Finance to engage and grow within the Balancer ecosystem.",,bearish
99," The text discusses proposed adjustments to Venus Prime's distribution strategy, focusing on aligning with each market's contribution to protocol reserves for better reflection of market dynamics and user participation. The changes aim to adjust rewards for eligible users based on the current total budget ($1,619,897) and average allocation over the last six months ($234,806), making it sustainable for over 12 months. Future modifications will be made for optimization. The proposal is set to run for the next three months, with a new evaluation planned after this period to further improve the program's effectiveness.",,bullish
100," The text suggests a weekly auction system for advertising spaces on PCS, where partners bid using CAKE tokens. The winning bidder gets to promote their project. The unused CAKE from these auctions is burned. Only one space is made available each week.",,bullish
103," This text discusses a proposal to add LUSD, a decentralized stablecoin, to the Ethereum v3 Optimism Liquidity Pool within Aave. The proposal is part of the Aave-Chan Initiative's goal to support stablecoin diversity. The document invites feedback on the suggested risk parameters for LUSD and mentions that LUSD is a growing stablecoin within the Optimism ecosystem, with liquidity primarily in Velodrome Stableswap pools. The text concludes by stating that the Aave-Chan Initiative is not affiliated with Liquidity or any other entity regarding this proposal.",,bearish
106," A doctor in Turkey is reaching out for help, stating that any donation can make a significant difference as they urgently need food, medications, and supplies. The contact information provided is @abuhdeib on Telegram.",,bearish
107," The text presents a proposal to expand the ApeCoin DAO ecosystem by creating an animated series and comic books, utilizing funds from $APE holders. The project aims to create an anime-inspired adaptation of the American Ape comic book series, featuring ApeCoin as the primary currency in the Metaverse. The overall cost is $300,000 USD for producing the animated series pilot and three spin-off comics. The proposal is available on the ApeCoin forum.",,bullish
109," The text suggests an opportunity to purchase cryptocurrencies at a discount from major developers, potentially leading to significant asset growth. Users are encouraged to deposit funds into an ETH wallet address provided.",,bearish
110," The Uniswap Foundation (UF) has proposed a budget of $74M over three years, with an initial disbursement of $20M and a subsequent disbursement of $54M in 6-12 months. The budget includes funding for operating expenses, grants, legal fees, and governance participation.

The UF will offer competitive compensation packages to attract a highly qualified team, and will provide full transparency regarding its financials later this year. An additional $2M is allocated for potential future litigation costs.

The UF is also requesting 2.5M UNI for governance participation, which will be delegated through a new smart contract design called The Franchiser. This proposal will go through the Request for Comment phase, followed by a Temperature Check Snapshot poll and Consensus Check if sentiment is positive.

The UF plans to discuss this proposal on the Uniswap Community call at 4 PM EST on August 10 and host a Twitter Spaces on @uniswapgrants at 11 AM EST on August 15. For more details, please read the full proposal and addendum here: https://gov.uniswap.org/t/temperature-check-create-the-uniswap-foundation/17358.",,bearish
111," The text discusses a proposal to decentralize PancakeSwap using 4EVERLAND, a blockchain-powered cloud computing platform. This move aims to create a more secure and efficient decentralized version of PancakeSwap without requiring additional funds. The proposal suggests migrating data from the current centralized server to a decentralized one provided by 4EVERLAND. The platform offers features like global acceleration, privacy protection, distributed storage, and easy access to Web 3.0 infrastructure. More details can be found on the 4EVERLAND website. The text conveys optimism about the potential benefits of this decentralization step for achieving a more secure and efficient Web 3.0 infrastructure.",,bullish
112," The text suggests a debate about reallocating mStable rewards from their original schedule to ibBTC/sBTC Setts, with two options presented. The discussion is taking place in a forum and on Discord.",,bearish
