,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,timestamp,coin,proposal,proposal_type,initial_price,time_5_day,time_5_price,price_high,timestamp_high,percent_high,average_price,average_percent,sentiment_score,sentiment_boolean,summary,sentiment_new
49,130,130,130,2020-09-22 18:43:28+00:00,sushi,"Many will be familiar with ctrl as the voice of reason and calm on our Discord, he has however a lot more skills beyond that.

I propose we hire @ctrl to come onboard full-time as COO and streamline and organize the operation, making sure
we deliver on our promises and speed up our progress forward. I can't think of a better person for this role and 
I'm sure many of you agree.

I believe a compensation of $120k/year + 150k SUSHI vested over 1 year is a fair compensation. (sablier.finance) 

I know some of you may feel
this is on the high end, but talent isn't cheap. If you want to best, you got to pay for it. 

I'm sure the value he has brought
and will bring to SUSHI is that many many times over.

Core Dev Proposal will be following!

Coming from himself a small bio :

So who am I? 

As I feel a need to remain anonymous, especially since I would otherwise be the only publicly known team member, this bio will not detail all of my experiences fairly and with specificity, but the large gist of it is as follows:

- 20+ years in tech, with considerable experience in system architecture, advanced load balancing & high-availability solutions, cloud architecture and IT security.

- 15+ years of coding experience in various scripting languages such as PHP, Python, Ruby, Bash/shellscripts, etc. 

- Have been part of leading team at one of the largest internet projects to ever exist, with peaks of 30+ million online active users, a project that has also featured extensive decentralisation.

- Founded & developed various popular services and apps over the years, some of which still live on in some forms (one of which has been a top 10 entertainment app in Scandinavia's iOS store for years with 1mil+ downloads).

- Led inhouse, remote and hybrid project teams with both developers & designers and across many stacks. Fan of Kanban, Agile sprints (with Scrum) and long coffee-sustained nights.

- Been an early pioneer in internet marketing, having used and leveraged virtually every single advancement of note in the area. From very early e-mail marketing, CPC/CPM advertising on sites and search engines, to advanced affiliate & referral structures. Deep knowledge and understanding of all the interconnected components that make up the marketing & communication channels of today.

- Have led very large gaming guilds in MMORPGs as a hobby, as well as other various communities in the past 20+ years, many with thousands or tens of thousands of users.

- Former Scoutmaster, who believes in the Learning By Doing creed, and that everyone has value.",bearish,1.391,2020-09-22 18:43:28+00:00,1.215,1.215,2020-09-23 00:00:00+00:00,12.6527677929547,1.34,-0.0366642703091302,0.8737117648124695,True," The text proposes to hire an experienced tech professional, known as @ctrl, for a full-time role as COO, citing their extensive background in system architecture, coding, project management, and internet marketing. The author argues that the proposed compensation of $120k/year plus 150k SUSHI vested over a year is fair, acknowledging potential concerns about the high end of the offer but emphasizing the value they bring to the organization. The text concludes with @ctrl's self-description highlighting their long career in tech, leadership experience, and community management skills. The sentiment is generally positive and confident in @ctrl's abilities.",bearish
54,140,140,140,2020-09-12 02:31:43+00:00,sushi,"Change the tokenomics, like KNC, the supply should be fixed, no more sushi will be created. The LP/ staking rewards paid in ETH. Therefore the value of sushi will be reflected in the price, not the supply of sushi.
Currently, KNC market cap is 240m, daily exchange vol is around 10m.
Sushi market cap is 240m, daily exchange vol is around 200m.
If changed the tokenomics, the sushi market cap should over 2b.",bearish,2.629,2020-09-12 02:31:43+00:00,2.18,2.18,2020-09-13 00:00:00+00:00,17.07873716241916,2.3955,-0.0888170406998858,0.94331955909729,True," The proposed change in Sushi's tokenomics suggests a potential increase in its market capitalization from the current 240 million to over 2 billion, due to fixed supply and LP/staking rewards paid in ETH, reflecting value in price rather than supply.",bearish
56,143,143,143,2020-10-18 09:26:33+00:00,sushi,test...,bearish,0.714,2020-10-18 09:26:33+00:00,0.665,0.665,2020-10-19 00:00:00+00:00,6.862745098039199,0.651,-0.0882352941176469,0.9462502598762512,True," Positive feedback expressed about a product, with users appreciating its ease of use and effectiveness.",bearish
64,160,160,160,2020-10-29 20:07:39+00:00,sushi,"As discussed on the forum. Uniswap is currently beating Sushiswap in WBTC/WETH liquidity. To incentivize Uniswap LP users to migrate, the protocol needs to add ongoing incentives for the pool. USDC/ETH has 2320 allocation points, and the standard ongoing altcoin/ETH pool has 1000. 

Voting ""Yes"" indicates to assign WBTC/WETH 1750 allocation points.

Discussion: https://forum.sushiswapclassic.org/t/proposal-adding-wbtc-eth-to-the-common-pool/1124",bearish,0.644,2020-10-29 20:07:39+00:00,0.583,0.583,2020-10-30 00:00:00+00:00,9.472049689441,0.602,-0.0652173913043478,0.8819451332092285,True," The text suggests a discussion about Uniswap having higher liquidity in WBTC/WETH compared to Sushiswap, and proposes assigning more allocation points to the Uniswap pool to attract more Liquidity Providers.",bearish
70,178,178,178,2022-05-17 03:06:46+00:00,sushi,"This proposal’s expectation is to produce an implementation. Full details and discussions thus far can be found at:

https://forum.sushi.com/t/lets-get-toke/9935

Synopsis:
Sushi’s Treasury currently has 41,424.01 TOKE ($963,522.47) that could be utilized for staking at a potential APR between 16% - 31%.

The main initiative is to make Sushi’s treasury more productive. The yield earned will help sustain the protocol in the long run. It could be used to help cover fees for setting up the Swiss Association, operations fees etc.

TL;DR
Stake $TOKE → Allocate votes to reactors (Weekly voting required) → Direct liquidity to Sushiswap → More fees earned by Sushi & xSushi holders",bearish,1.435,2022-05-17 03:06:46+00:00,1.248,1.248,2022-05-18 00:00:00+00:00,13.031358885017418,1.3065,-0.0895470383275261,0.9153636693954468,True," The text proposes utilizing Sushi's TOKE from the treasury for staking, aiming to increase productivity and sustainability of the protocol. This action could help cover operational costs such as association setup fees. In summary, staking TOKE could potentially benefit Sushi & xSushi holders by increasing earnings from fees.",bearish
77,202,202,202,2020-09-11 16:43:38+00:00,sushi,"I would like to propose creation of ETH/WBTC farming pool ASAP as this pool is one of the highest in uniswap, ranked 5: this is the latest stat from uniswap:
WBTC-ETH
Liquidity : $57,523,367
Volume (7d): $11,386,650
Volume (24h): $34,847,967
Fees(24h): $34,160

this incentive ETH/WBTC pool even more and make our SUSHIswap more competitive. Thank you. Danny",bearish,2.711,2020-09-11 16:43:38+00:00,2.306,2.306,2020-09-12 00:00:00+00:00,14.93913684987089,2.479,-0.085577277757285,0.9219111800193788,True," The text expresses enthusiasm for creating an ETH/WBTC farming pool on Sushiswap due to its high ranking and significant liquidity, volume, and fees in Uniswap. The author suggests that this move would increase competitiveness.",bearish
86,216,216,216,2020-10-23 11:34:37+00:00,sushi,"Boosting SUSHI/WETH pool Reward from 4.8x to 12x 


Discussion here :
https://forum.sushiswapclassic.org/t/increasing-reward-for-sushi-weth-pool/1002",bearish,0.664,2020-10-23 11:34:37+00:00,0.615,0.615,2020-10-25 00:00:00+00:00,7.37951807228916,0.64,-0.036144578313253,0.944692313671112,True, The text indicates an increase in rewards for a SUSHI/WETH pool from 4.8 times to 12 times the initial deposit.,bearish
103,260,260,260,2024-06-10 20:24:58+00:00,badger,"TL;DR
The proposal is to authorize the Treasury Council to move BADGER token TCL in the Uniswap V3 BADGER/wBTC LP to BADGER/eBTC

This supports the ongoing expansion and success of eBTC",bearish,4.098,2024-06-10 20:24:58+00:00,3.781,3.781,2024-06-11 00:00:00+00:00,7.73548072230355,3.9395,-0.0386774036115178,0.8072687983512878,True," The text suggests a plan to transfer BADGER tokens from Uniswap V3 BADGER/wBTC LP to BADGER/eBTC, aiming to support the growth and success of eBTC.",bearish
108,273,273,273,2022-04-20 19:06:00+00:00,badger,"## TL;DR;

The purpose of this proposal is to improve the user experience by:

- Providing smoothly increasing yield on incremental native token holdings
- Increasing the cap on matching native tokens from 100% to 300%

It is expected that this will result in reduced selling of BADGER token incentives since they would count for incremental boost.",bearish,9.07,2022-04-20 19:06:00+00:00,8.53,8.53,2022-04-21 00:00:00+00:00,5.95369349503859,8.75,-0.0352811466372657,0.9445685148239136,True," The proposal aims to enhance user experience by increasing yield on native token holdings and expanding the cap for matching native tokens, potentially reducing the selling of BADGER tokens due to increased incentives.",bearish
113,281,281,281,2021-12-27 23:27:48+00:00,badger,"TL;DR:
  * Extend the current schedule with the base rate of 0.75% weekly reduction in Badger emissions
  * Keep the 15% targeted Badger APR + 20k cvxCRV per week for bveCVX
  * Keep DIGG emissions the same as Q4 2021

Forum: https://forum.badger.finance/t/bip-82-emissions-q1-2022/5333
RFF: https://discord.gg/FaAhHpWxyD",bearish,17.6,2021-12-27 23:27:48+00:00,15.21,15.21,2021-12-28 00:00:00+00:00,13.57954545454545,15.19,-0.1369318181818181,0.8198000192642212,True,"  The proposal aims to extend the schedule with a weekly reduction of 0.75% in Badger emissions, maintain a 15% targeted APR for Badger and provide 20k cvxCRV per week for bveCVX, while keeping DIGG emissions consistent with Q4 2021 levels.",bearish
117,290,290,290,2021-07-31 03:52:13+00:00,badger,"**TL;DR:** 

The BIP 66 proposal linked below has reached quorum with all three portions of the vote receiving overwhelming approval. 
The proposal would create deeper and more concentrated liquidity for DIGG in the near-term by increasing/consolidating emissions and re-funding KPI options rewards; while also establishing a treasury controlled liquidity at a relatively low cost and provide scalability as DIGG goes through a positive rebase streak and creates more BTC. 

See the proposal here:
https://forum.badger.finance/t/bip-66-revise-digg-emissions-fund-kpi-options-and-establish-tcl/4860

Vote: 
**Do you approve of the BIP 66 suggestions?**",bearish,11.69,2021-07-31 03:52:13+00:00,10.316,10.316,2021-08-02 00:00:00+00:00,11.7536355859709,11.0385,-0.0557313943541487,0.9359946846961976,True," The BIP 66 proposal has received overwhelming approval, aiming to increase DIGG liquidity, establish a controlled treasury, and provide scalability for future Bitcoin creation.",bearish
128,309,309,309,2021-10-03 22:51:55+00:00,badger,"The proposal is to switch Badger rewards from Boosted to Pro-rata on the Badger Locked CVX Sett with the open launch this week, and stop counting the blCVX deposits as the non-native balance in the Boost calculation.

This would mean that all depositors would be receiving the same APR in both Badger and cvxCRV emissions that are allocated to the Sett.

With blCVX not being counted as non-native balance, Sett depositors would still be able to utilize their Boost power on other non-native Setts, while getting the Badger & bcvxCRV bonus from being in blCVX. 
And it would also make the Sett more attractive for users with smaller Stake Ratios and to new depositors, all while ensuring that the DAO gets as much CVX voting power as possible to vote on Bitcoin pools rewards on Curve+Convex.

Link to Discussions: https://discord.gg/77X9bVnBeg",bearish,18.98,2021-10-03 22:51:55+00:00,17.98,17.98,2021-10-04 00:00:00+00:00,5.268703898840879,21.08,0.1106427818756584,0.9026387929916382,True," The proposal aims to transition Badger rewards from Boosted to Pro-rata within the Badger Locked CVX Sett, effective with the upcoming launch this week. This change would ensure equal APR for all depositors in both Badger and cvxCRV emissions allocated to the Sett. Excluding blCVX deposits from the non-native balance calculation allows Sett depositors to maintain Boost power on other non-native Setts, while gaining Badger & bcvxCRV bonuses from being in blCVX. This adjustment is expected to make the Sett more appealing for users with smaller Stake Ratios and new depositors, while maximizing CVX voting power for the DAO on Bitcoin pools rewards on Curve+Convex.",bearish
