,Unnamed: 0.1,Unnamed: 0,timestamp,coin,proposal,proposal_type,initial_price,time_5_day,time_5_price,price_high,timestamp_high,percent_high,average_price,average_percent,category
33,33,33,2021-12-02 00:23:02.136000+00:00,makerdao," ACREinvest is a blockchain venture focused on Web3 infrastructure, virtual network services, and social incentives for DAOs. The delegate address from Dec 2021 to Nov 2022 is 0x4d3aC33AB1dd7B0F352b8E590Fe8b62c4C39eAd5, and the delegate address for Nov 2022 - Nov 2023 is 0x06e8dedf9e1adb1eba32f36ea9223770ba378b77. The venture is led by Kianga Daverington, the founder of Acre of America, an impact investment management firm.

ACREinvest's mission is to revolutionize capital markets and aims to apply two decades of legal experience in derivatives and commodities markets to DeFi, specifically MakerDAO. The venture has launched ACRE DAOs, a Web3 portal for a decentralized impact investment club and its related ERC-20 token: ACRE Impact.

ACREinvest operates with core values of Creativity, Common Sense, and Compliance. Kianga pledges to keep the community updated on any potential conflicts of interest and agrees to abide by the Delegate Code of Conduct. However, her role is not in her professional capacity as an attorney, and none of her comments or communications should be considered legal advice.

By delegating MKR to ACREinvest, individuals acknowledge that neither Kianga Daverington nor ACREinvest are liable for any damages or losses related to the delegation of MKR. It is the responsibility of the individual to understand the risks and costs associated with delegating their MKR.",bearish,2973.0,2021-12-04 00:00:00+00:00,2257.0,2257.0,2021-12-04 00:00:00+00:00,-0.2408341742347796,2779.0,-0.0652539522367978,verySmall
41,41,41,2021-05-06 20:53:10+00:00,sushi," The Sushi team has secured 16 million dollars (approx.) in incentives from Polygon and xDai foundations to boost liquidity. Two proposed solutions for matching these funds are using a portion of the existing treasury (over 200 million dollars) or lowering incentives for certain pairs at the core team's discretion. The Sushi team also secured 1 million dollars in incentives from xDai, aiming to foster more liquidity and users across various networks. This move is aimed at positioning Sushi as a leading DEX on multiple locations, with all revenues benefiting xSushi holders. For now, the team suggests leveraging the treasury due to technical complexity in bridging emissions.",bearish,16.512,2021-05-06 00:00:00+00:00,13.963,13.963,2021-05-06 00:00:00+00:00,-0.1543725775193799,16.212333333333333,-0.0181484173126615,verySmall
45,45,45,2024-06-05 15:31:18.883000+00:00,apecoin," The project aims to develop an avatar generator tool with customizable 3D traits, optimized for ApeCoin's ecosystem. The development will include:

1. Design of accessories, 3D sculpture, optimization, texturing, rigging, and quality assurance for the 3D segment.
2. Minting campaigns of the traits using smart contracts in ApeChain, ensuring security and quality assurance for the blockchain development.
3. Adapting the current tech to a new ApeCoin UI, fitting the avatar generator system to the traits, and maintaining the website with UI/UX Design, Frontend Development, Backend Development, and Quality Assurance.

The project will be developed by separate in-house teams over 12 months, starting from August 2024 to December 2025. The milestones include:

- UI/UX designed and published.
- Base avatar designed, developed, and published.
- Traits/Accessories designed, developed, and published.
- Launch of the tool.
- Publication of guides on how to use the avatars.

The key performance indicators (KPIs) will be:

- Number of avatars created.
- Unique wallets that have created an avatar.
- Content impressions with the avatars being used.

The total cost of the project is estimated to be $370,000, including salaries, licenses for tools, hardware and server costs, and other associated expenses. The breakdown of the costs is as follows:

- Blockchain Dev: $60,000
- 3D Programming: $60,000
- Graphic Design: $10,000
- Frontend Development: $40,000
- Backend Development: $80,000
- 3D modelling & texturing (same artists): $90,000
- Rigging: $30,000

The APE Foundation will be required to grant access to a subdomain for hosting the project or offer their 3D Avatar Platform as a host for one year. The community will also be involved in suggesting and requesting traits they'd like to see.

Reporting expectations include bi-weekly updates on progress and a public Notion page visible to anyone with the progress on minor and major milestones. Updates will be released throughout the year, with new accessories being added each month.",bearish,1.362,2024-06-07 00:00:00+00:00,1.1,1.1,2024-06-07 00:00:00+00:00,-0.1923641703377386,1.2956666666666667,-0.0487028879099363,verySmall
52,52,52,2020-09-11 00:48:44+00:00,sushi," The text discusses a rebranding proposal for SushiSwap, a popular cryptocurrency project, following recent events involving ChefNomi and the devfund. The community is encouraged to submit new logo designs in a contest called ""The SushiSwap Dragonroll Logo Contest."" The winning design will become the new SushiSwap logo, with the winner being titled ""Master of Dragonrolls"" and receiving 500 $SUSHI. Second and third place winners will also receive prizes in $SUSHI. The community will vote on the top 5 submissions to determine the final design.",bearish,2.711,2020-09-11 00:00:00+00:00,2.028,2.028,2020-09-11 00:00:00+00:00,-0.2519365547768351,2.5563333333333333,-0.0570515185048567,small
59,59,59,2022-04-08 17:04:18+00:00,balancer," The proposal aims to whitelist the COW/ETH pool gauge for veBAL voting, strengthening ties between COW and BAL communities. The COW Protocol allows users to swap assets at optimal exchange rates by delegating trade execution to solvers, who compete to offer the best possible rate. This batching of trades reduces gas costs, AMM fees, and execution risk, resulting in better prices than existing DEX aggregators. The COW Protocol is governed by its token holders and has undergone audits for its settlement contract and COW token. However, it still relies on a centralized server for orderbook and solver competition, with plans to decentralize this aspect in the future. COW was launched with incentives for providing liquidity on Balancer pools, and is now considering using veBAL voting to boost BAL rewards for COW pools.",bearish,20.25,2022-04-10 00:00:00+00:00,16.78,16.78,2022-04-10 00:00:00+00:00,-0.1713580246913579,18.52333333333333,-0.0852674897119343,verySmall
60,60,60,2021-06-19 09:55:11.905000+00:00,makerdao," Discussion needed on potential funding for reducing risks for participants in active Credit Unions, with numerous feasible opportunities identified by a corporate attorney.",bearish,2582.32,2021-06-21 00:00:00+00:00,2071.14,2071.14,2021-06-21 00:00:00+00:00,-0.1979537779980793,2459.896666666667,-0.0474082736970372,verySmall
61,61,61,2021-03-02 17:13:53+00:00,curve," This text is about Uniswap, an on-chain trading protocol that allows for free creation, trading, and provision of liquidity via Automated Market Maker (AMM). Users can access it through the Uniswap website, Discord, Twitter, or GitHub. The token associated with Uniswap is UNI, and more information can be found on Coingecko. The Ethereum address for Uniswap is 0x1f9840a85d5af5bf1d1762f925bdaddc4201f984.",bearish,2.508,2021-03-02 00:00:00+00:00,1.981,1.981,2021-03-02 00:00:00+00:00,-0.210127591706539,2.291,-0.0865231259968102,verySmall
63,63,63,2024-06-16 15:48:28.340000+00:00,apecoin," The text discusses a proposal for ApeID, a web2/web3 login system similar to AppleID, Facebook Login, and Google Login. This system aims to onboard users to any site, whether they hold ApeCoin or not, and allow ApeCoin holders to connect their wallets. The benefits include mass adoption and exposure for ApeCoin, acting as a potential loyalty card for web3, and potentially making ApeCoin the coin of choice for other web3 businesses. The system will be built by an experienced team and is expected to take 4-5 months for V1. Updates will be provided quarterly, and costs will include software development, marketing, advertising, and tech support. This proposal serves as a foundation for a larger vision for ApeID.",bearish,1.085,2024-06-18 00:00:00+00:00,0.868,0.868,2024-06-18 00:00:00+00:00,-0.1999999999999999,1.005,-0.0737327188940092,verySmall
70,70,70,2022-06-15 19:15:09.203000+00:00,makerdao," The text provides updates on various projects within the MakerDAO ecosystem. Highlights include:

1. sETH2 Technical Assessment published with a high risk rating, leading to a decision by CMON stakeholders not to invest further until mitigations are in place.
2. Maple Finance and HVB Technical Assessments are undergoing feedback rounds and will be published soon.
3. An on-chain poll for offboarding 5 Ilks passed, with coordination towards an executive vote scheduled for the week of June 22nd.
4. CES supported SGF developers in testing operations for a vault deployed on the CES Goërli environment.
5. The Collateral Onboarding Process (COB) has been redefined and updated, with new internal sheets created to coordinate activities across teams.
6. A Quick Start Guide was published to facilitate understanding of the onboarding process and make it a self-service approach.
7. Various meetings are ongoing among different teams for updates and decision-making processes.
8. The CES Budget Cycle has been published, and previous sprint updates have been shared.
9. Engagement with the community is encouraged through Discord.",bearish,828.0,2022-06-15 00:00:00+00:00,679.0,679.0,2022-06-15 00:00:00+00:00,-0.179951690821256,776.6666666666666,-0.0619967793880837,verySmall
77,77,77,2020-08-31 15:59:26+00:00,curve," A new hBTC/wBTC pool is being added to Curve for increased BTC liquidity on Ethereum. The pool, optimized for gas efficiency and without lending, attracts more liquidity, enabling easier swaps between the two assets. This should boost liquidity for all Bitcoin forms on Curve.",bearish,4.337,2020-08-31 00:00:00+00:00,3.423,3.423,2020-08-31 00:00:00+00:00,-0.2107447544385519,3.858666666666666,-0.110291291983706,verySmall
78,78,78,2021-07-18 17:17:39+00:00,pankcakeswap," Prioritize the development of perpetual contract transactions (margin transactions). A portion of the handling fee is destroyed, using CAKE tokens.",bearish,12.93,2021-07-20 00:00:00+00:00,10.85,10.85,2021-07-20 00:00:00+00:00,-0.1608662026295437,12.064,-0.0669760247486465,verySmall
82,82,82,2021-09-05 17:46:00+00:00,pankcakeswap," Proposal: Expand PancakeSwap across multiple blockchains, establishing decentralized exchanges (DEX) on each and potentially launching its own chain.",bearish,24.47,2021-09-07 00:00:00+00:00,18.35,18.35,2021-09-07 00:00:00+00:00,-0.2501021659174498,23.276666666666667,-0.0487671979294373,small
84,84,84,2023-05-06 01:50:55+00:00,pankcakeswap, Text suggests discussing whether participants who extended their trust in the project by locking tokens for another year are deserving of a reward.,bearish,2.2,2023-05-08 00:00:00+00:00,1.834,1.834,2023-05-08 00:00:00+00:00,-0.1663636363636364,2.0276666666666667,-0.0783333333333333,verySmall
89,89,89,2024-04-10 05:52:01+00:00,aave," Title: Polygon v2 Borrow Rate Adjustments Proposal
   Authors: @karpatkey_TokenLogic & @ChaosLabs
   Date: 2024-04-04

This publication proposes gradually increasing borrow rates on Polygon v2 to encourage users to migrate to Aave v3. The Reserve Factor (RF) on Polygon v2 has increased over the past 8 months, reducing capital efficiency and deposit yield.

The proposal suggests incrementing the Slope1 parameter for non-frozen assets by 75bps every two weeks to encourage migration from v2 to v3. The Uoptimal will also be adjusted periodically to discourage new debt positions.

For frozen assets, the Uoptimal will be reduced to 10%, Slope1 to 50%, and Slope2 to 500% (except for BAL with a Uoptimal of 20% due to current utilization).

The changes will not trigger liquidation of users' funds and will gradually increase the cost for those remaining on v2. A migration tool is available to aid transition from v2 to v3.

Assets affected: DAI, MATIC, wBTC, wETH, USDC, USDT, BAL, CRV, DPI, GHST, LINK, and SUSHI.

The proposal will be escalated to the Snapshot stage if community consensus is reached. If approved, a subsequent proposal will be submitted every two weeks.",bearish,128.5,2024-04-12 00:00:00+00:00,86.86,86.86,2024-04-12 00:00:00+00:00,-0.3240466926070039,115.30333333333331,-0.1026977950713359,small
94,94,94,2023-04-14 08:46:41.407000+00:00,venus,"10 USDT will be converted to 9 VAI considering the exchange rate of min(1, 0.9). If a user wants to send 10 USDT to PSM, they will receive 9 VAI after fees (assuming feeIn = 10%), with 1 VAI going to the treasury and 8.1 VAI going to the user. The commission is calculated based on the principal amount of VAI (9 VAI = $9).

The VAI Savings Rate (VSR) contract is a smart contract designed to accept deposits of VAI tokens and mint SavingsVAI for depositors. This contract provides users with the opportunity to earn interest on their VAI deposits, while also providing additional utility to the VAI token within the Venus ecosystem.

Key features of the VSR contract include:
- Deposit and mint: Users deposit VAI into the VSR contract, which mints and issues SavingsVAI tokens to the depositor based on the deposit amount of VAI.
- Redeem and withdraw: Users can redeem their SavingsVAI tokens at any time, receiving VAI in return. The amount of VAI received upon redemption will always be equal to or greater than the initial VAI deposit used to obtain the SavingsVAI tokens.
- SavingsVAI: SavingsVAI is an ERC-20 token that represents a redeemable deposit within the VSR contract. The redemption process is guaranteed and immediate, without any lock-up periods.
- Implementation of ERC-4626: The VSR contract can implement the ERC-4626 standard (ERC-4626: Tokenized Vaults), where VAI serves as the resource and SavingsVAI functions as shares.

The VAI Savings Rate contract introduces an additional level of utility for VAI, allowing users to earn interest on their deposits. This mechanism not only encourages the holding of VAI but also improves the overall value proposition of the Venus ecosystem.

In conclusion, this proposal aims to keep the pegged VAI price at $1 by deploying the VAI PEG Stability module and providing liquidity for the VAI/USDT pair on PancakeSwap. The plan begins with the use of treasury for providing liquidity on PancakeSwap and continues with further developments, such as Peg Stability Modules, VAI Savings Rate, and updates to the liquidation sequence.",bearish,7.99,2023-04-14 00:00:00+00:00,6.75,6.75,2023-04-14 00:00:00+00:00,-0.1551939924906133,7.88,-0.0137672090112641,verySmall
95,95,95,2021-05-11 19:44:18.589000+00:00,makerdao,3-part series on MakerDAO resources concludes with information about Collateral and Liquidations. Previous parts covered related topics.,bearish,5368.7,2021-05-13 00:00:00+00:00,4439.66,4439.66,2021-05-13 00:00:00+00:00,-0.1730474789055078,5021.633333333333,-0.0646463141294292,verySmall
98,98,98,2024-05-20 18:24:26+00:00,arbitrum," A proposal by Cattin (Seed Latam) requests 500,000 ARB for a challenge due to its potential impact. The initial application and an addendum can be found on the Arbitrum Foundation forum. Further details are available in the discussion threads provided.",bearish,1.1269,2024-05-20 00:00:00+00:00,0.9476,0.9476,2024-05-20 00:00:00+00:00,-0.1591090602537936,1.1572000000000002,0.026887922619576,verySmall
101,101,101,2022-12-15 21:35:43+00:00,apecoin," The text discusses the nomination process for the ApeCoin DAO's Special Council, established by AIP-137. Community members have been discussing and providing feedback on nominees since November 28th. Voting is now open to choose the 5 candidates who will proceed to the Special Council election, scheduled from Dec 22-28. The process is administered by the Ape Foundation, with potential changes for security, usability, or to protect APE holders. More details can be found on the nomination announcement and nominee profiles posted on Discourse.",bearish,3.976,2022-12-17 00:00:00+00:00,3.254,3.254,2022-12-17 00:00:00+00:00,-0.18158953722334,3.660333333333333,-0.07939302481556,verySmall
102,102,102,2020-09-12 07:07:52+00:00,sushi,"
The text discusses a proposal to adjust inflation rates for the cryptocurrency SUSHI. Current community proposals suggest drastic reductions in block rewards, which could harm APY for liquidity providers and potentially drive them away, reducing competition with other Automated Market Makers (AMMs). The authors argue that lowering inflation too early could be harmful to the ecosystem, while existing proposals create imbalances among different user groups.

The text identifies three primary user groups: farmers who provide liquidity, holders of SUSHI, and casual traders seeking high liquidity. All are essential for the ecosystem's survival. The proposed solution is a gradual decrease in block rewards over time with less inflation in the long term to satisfy all parties.

The plan includes:
- First month: 150 SUSHI per block and $10mln buyback from funds received from @chefnomi
- Second month: 100 SUSHI per block and $4mln buyback
- Next ten months: 80 SUSHI per block
- Final year: 50 SUSHI per block

This plan aims to reduce inflation significantly after one year, with a slower and less damaging drop. The buyback is intended to offset the impact of inflation on price, and any locking mechanism for newly minted tokens would prevent instant sells of unlocked parts.",bearish,2.629,2020-09-13 00:00:00+00:00,2.18,2.18,2020-09-13 00:00:00+00:00,-0.1707873716241916,2.473333333333333,-0.0592113604665906,verySmall
104,104,104,2022-07-27 12:27:31+00:00,aave," The text discusses a proposal by Aave Companies to introduce a new asset called GHO on the Aave Protocol, which allows users to mint against their collateralized crypto-assets. If approved, interest payments from GHO borrows will be sent to the AaveDAO. The community has provided feedback on potential pitfalls, such as DAO-set interest rates, supply caps, peg stability module, and facilitator vetting. A preliminary vote is being taken to receive community approval for the project, whitelist the first facilitator (Aave V2 Ethereum Market), and initiate discussions on starting parameters. The proposal aims to provide a strong initiation point for the AaveDAO to oversee GHO's development and parameters moving forward.",bearish,94.7,2022-07-27 00:00:00+00:00,79.0,79.0,2022-07-27 00:00:00+00:00,-0.1657866948257656,96.9,0.0232312565997886,verySmall
108,108,108,2024-07-03 11:38:49.752000+00:00,curve," Resolv is a protocol that manages USR, a stablecoin backed by Ether collateral and pegged to the US Dollar. The stablecoin's design ensures price stability through delta-neutral portfolios, and an insurance layer (RLP) provides additional security. Key features include transparency, capital efficiency, profitability, and optimization for investment. Resolv aims to develop secondary liquidity for USR, primarily on the Curve USR-USDC pool, to facilitate integrations with leverage DeFi protocols. The governance token RSLV is forthcoming, and the protocol is currently audited by MixBytes and Pessimistic. It has been live since April 2024, with a current TVL of approximately $16 million and average yields for native USR staking and RLP at 9.16% APR and 19.36% APR respectively. Voting is currently live on Curve DAO and CrvHub.",bearish,0.2717,2024-07-05 00:00:00+00:00,0.2173,0.2173,2024-07-05 00:00:00+00:00,-0.2002208317997791,0.2501,-0.0794994479205005,verySmall
109,109,109,2024-07-03 18:26:01+00:00,balancer," This text appears to outline a series of interactions between the Balancer Maxi LM Multisig wallet and various GaugeAddresses on both Arbitrum and Ethereum networks. The interactions will involve seeding liquidity into several pools, including a GHO/GYD Pool with a range of -40bps to 2bps, a GHO/USDC/USDT Pool under Composable Stable, and possibly others.

   The Balancer Maxi LM Multisig wallet will call the addGauge function on the GaugeAdapter4 contract at the specified addresses with the provided arguments. These arguments include the gauge address and gauge type (Arbitrum or Ethereum) for each pool.

   It is important to note that TokenLogic and karpatkey, who are Service Providers and delegates within the Aave Ecosystem, are responsible for this proposal. This disclosure is included in the text.",bearish,2.664,2024-07-05 00:00:00+00:00,2.165,2.165,2024-07-05 00:00:00+00:00,-0.1873123123123123,2.4716666666666667,-0.0721971971971972,verySmall
110,110,110,2020-09-09 03:37:52+00:00,sushi," This proposal suggests adjusting SUSHI emissions and introducing a lock-up period to encourage long-term participation in the ecosystem. The emission of new SUSHI will be reduced over five years, starting from 100 SUSHI per block, decreasing to 50, 25, and finally 10 SUSHI per block in subsequent years. Two-thirds of newly issued SUSHI will be locked for a one-year vesting period, earning fees but not available for sale or voting until unlocked. The aim is to lower inflation, prevent over-dilution, and reduce downward pressure on the token price. This model could reward early participants, promote long-term involvement, and create a lockup for user upside, but may have potential issues if the token price doesn't rise quickly enough to support liquidity providers and impact the development fund.",bearish,2.88,2020-09-09 00:00:00+00:00,2.153,2.153,2020-09-09 00:00:00+00:00,-0.2524305555555555,2.6573333333333333,-0.0773148148148147,small
118,118,118,2024-03-18 22:57:21.027000+00:00,compound," The Compound community will hold its Developer Community Call on March 20th, at 9:30am PT. This call will be an open discussion forum for individuals and organizations working on protocol improvement proposals or building applications integrating the protocol. The call will take place in the Compound Discord, with options for voice or text-only participation. The agenda includes project discussions by Gauntlet, OpenZeppelin, and Compound Growth, an open discussion, and a recording of the call to be shared afterwards. Anyone is welcome to participate and contribute. A link to the Discord voice chat event has been provided.",bearish,74.96,2024-03-20 00:00:00+00:00,63.51,63.51,2024-03-20 00:00:00+00:00,-0.1527481323372465,71.87666666666667,-0.0411330487371041,verySmall
125,125,125,2023-05-06 23:35:50+00:00,pankcakeswap," The individual is sharing a personal update about being diagnosed with stage 2 lung cancer and seeking funds for treatment. They have around 45% (approximately 20k) saved but need the full amount before starting the process. They are appealing for help from anyone who can contribute towards their treatment, stating that any donation will be greatly appreciated. They also mention a cryptocurrency wallet address for potential donors.",bearish,2.2,2023-05-08 00:00:00+00:00,1.834,1.834,2023-05-08 00:00:00+00:00,-0.1663636363636364,2.0276666666666667,-0.0783333333333333,verySmall
126,126,126,2023-05-06 08:56:13+00:00,pankcakeswap, Reduce supply capacity immediately by half to address oversupply issue.,bearish,2.2,2023-05-08 00:00:00+00:00,1.834,1.834,2023-05-08 00:00:00+00:00,-0.1663636363636364,2.0276666666666667,-0.0783333333333333,verySmall
129,129,129,2024-01-04 14:50:21.672000+00:00,astar," This text appears to be a project overview for Metadomo, a platform that aims to bridge the gap between traditional loyalty point programs (LPPs) and Web3 technology. The project's key features include:

1. Cross-border redemption capabilities for LPP points, which is currently a challenge in the industry. They plan to demonstrate this at scale using Astar.

2. Blending Web2/Web3 experiences to make Web3 more accessible to general consumers, thereby driving mass adoption.

3. Stimulating their ecosystem via $DOMO cashback, using traditional revenue streams to ensure sustainability and incentivize user growth.

The project has achieved several milestones so far, including becoming a member of Astar Japan Labs, establishing partnerships with gaming and payment networks, and setting up a nationwide merchant redemption network in Japan and Hong Kong.

The roadmap includes immediate plans for public beta testing of Rewards Station, UI overhaul, increasing social presence, completing the Rewards Station beta, launching Metadomo Genesis NFTs, onboarding projects and clients, expanding into South Korea, and more.

Long-term goals include launching MetaLoyalty Profiles, $DOMO TGE, launching $DOMO Cashback incentives, launching a Loyalty Marketplace, targeting India, Indonesia, and more reward network integrations, and launching Plug & Play Loyalty for merchants.

The core team includes Tiarnan Takumi Lynch (Token and ecosystem design), Tyrone Lynch (CEO), and Huy Dinn (Head of Tech).

Links provided are to the project's website, Rewards Station, and LinkedIn profiles of the team members.",bearish,0.1718,2024-01-06 00:00:00+00:00,0.1362,0.1362,2024-01-06 00:00:00+00:00,-0.2072176949941793,0.1572666666666667,-0.0845944897167247,verySmall
131,131,131,2021-05-08 15:39:54.057000+00:00,aragon," This week, the focus has been on preparing for the launch of Aragon Voice and Vocdoni. Development efforts include readying the technology stack for Aragon Voice, improving the scrutinizer, and almost completing the first MVP of Vocdoni, a governance platform for conventional organizations. Support work includes creating FAQs, an introduction to Vocdoni, and guidelines for various types of votes. The team is also working on launch preparations, documentation, and communication strategies. Updates can be found on the Vocdoni website, Twitter, Discord server, and Aragon Discord Server. A sneak peek of Vocdoni was presented in the first Aragon Community Call, which can be viewed on YouTube.",bearish,10.297,2021-05-10 00:00:00+00:00,8.75,8.75,2021-05-10 00:00:00+00:00,-0.150237933378654,9.889466666666667,-0.0395778705771907,verySmall
